Data Source,World Development Indicators,,,
Last Updated Date,16/09/2022,,,
,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2021
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,1557.722682
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,1774.921218
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2137.909393
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,6494.385713
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,43047.68627
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,6412.38921
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,10729.23258
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4670.008798
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,14900.7974
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,59934.12941
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,53267.93275
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,5384.034998
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,236.7954142
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,51767.78857
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1428.447177
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,918.1525819
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2503.04388
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,11634.97102
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,22232.32523
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,28239.36671
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,6916.438315
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,7303.696266
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4420.491372
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,110869.4631
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3414.892849
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,7518.834284
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,17033.93719
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,31722.66014
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,7347.552382
Central African Rep.,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,511.4847456
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,52051.35146
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,18568.99338
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,93457.4404
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,16502.83857
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,12556.33312
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2578.760412
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1661.702105
Dem. Rep. Congo,COD,GDP per capita (current US$),NY.GDP.PCAP.CD,584.1064092
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2213.880863
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6131.225922
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1494.687693
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3445.756536
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,12508.61563
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,9352.282028
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,30798.47656
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,26378.49996
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,50801.78671
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,3363.712048
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,7559.975039
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,67803.0471
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,8603.789905
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,3765.034625
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,9776.493809
Early-demographic dividend,EAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3739.95779
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,13037.46264
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),NY.GDP.PCAP.CD,8708.063638
Europe & Central Asia,ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,27114.27599
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,5934.875496
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3876.359594
Euro area,EMU,GDP per capita (current US$),NY.GDP.PCAP.CD,42307.72904
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,30115.70589
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,27280.65844
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,943.9656842
European Union,EUU,GDP per capita (current US$),NY.GDP.PCAP.CD,38234.1346
Fragile and conflict affected situations,FCS,GDP per capita (current US$),NY.GDP.PCAP.CD,1826.396401
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,53982.61427
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,5085.971642
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,43518.53851
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,3476.650895
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,8016.990495
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,47334.35531
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,5042.385528
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,2445.290749
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,1174.352972
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,835.5944214
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,812.962373
Eq. Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,8462.28633
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,20276.54467
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,9928.621733
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,5025.575573
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,9374.80457
High income,HIC,GDP per capita (current US$),NY.GDP.PCAP.CD,47886.78459
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,49660.63424
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,2831.033021
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),NY.GDP.PCAP.CD,1057.919242
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,17398.76598
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,1814.674048
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,18772.67329
IBRD only,IBD,GDP per capita (current US$),NY.GDP.PCAP.CD,7241.958363
IDA & IBRD total,IBT,GDP per capita (current US$),NY.GDP.PCAP.CD,5720.323923
IDA total,IDA,GDP per capita (current US$),NY.GDP.PCAP.CD,1456.412704
IDA blend,IDB,GDP per capita (current US$),NY.GDP.PCAP.CD,1857.422562
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,4291.812554
IDA only,IDX,GDP per capita (current US$),NY.GDP.PCAP.CD,1254.267846
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,2277.434347
Not classified,INX,GDP per capita (current US$),NY.GDP.PCAP.CD,
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,99152.10257
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,5048.387813
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,68383.76534
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,51430.07968
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,35551.28499
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4586.650509
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4405.839424
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,39285.16311
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,10041.48984
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,2006.83224
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1276.242643
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1590.95666
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,
St. Kitts and Nevis,KNA,GDP per capita (current US$),NY.GDP.PCAP.CD,18230.13235
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,34757.72007
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),NY.GDP.PCAP.CD,7727.161172
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2551.326081
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,2670.441956
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,673.0890671
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,6018.445207
St. Lucia,LCA,GDP per capita (current US$),NY.GDP.PCAP.CD,9570.995457
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,8340.3896
Least developed countries: UN classification,LDC,GDP per capita (current US$),NY.GDP.PCAP.CD,1176.977617
Low income,LIC,GDP per capita (current US$),NY.GDP.PCAP.CD,749.7613804
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,3814.715219
Lower middle income,LMC,GDP per capita (current US$),NY.GDP.PCAP.CD,2581.857195
Low & middle income,LMY,GDP per capita (current US$),NY.GDP.PCAP.CD,5530.438553
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,1166.461667
Late-demographic dividend,LTE,GDP per capita (current US$),NY.GDP.PCAP.CD,11452.82041
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,23433.39091
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,135682.7943
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,20642.16792
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,45421.62663
St. Martin (French part),MAF,GDP per capita (current US$),NY.GDP.PCAP.CD,
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3496.758301
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,5314.531461
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,514.9058618
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,8994.641352
Middle East & North Africa,MEA,GDP per capita (current US$),NY.GDP.PCAP.CD,7696.86848
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,9926.422768
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,4170.981918
Middle income,MIC,GDP per capita (current US$),NY.GDP.PCAP.CD,6102.000869
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,6720.896285
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,917.9130633
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,33257.42203
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1187.238484
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),NY.GDP.PCAP.CD,3612.245533
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,9367.016884
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,4534.918589
Northern Mariana Islands,MNP,GDP per capita (current US$),NY.GDP.PCAP.CD,
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,500.4448085
Mauritania,MRT,GDP per capita (current US$),NY.GDP.PCAP.CD,1723.013866
Mauritius,MUS,GDP per capita (current US$),NY.GDP.PCAP.CD,8812.108249
Malawi,MWI,GDP per capita (current US$),NY.GDP.PCAP.CD,642.6569158
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,11371.09902
North America,NAC,GDP per capita (current US$),NY.GDP.PCAP.CD,67514.02312
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4729.270937
New Caledonia,NCL,GDP per capita (current US$),NY.GDP.PCAP.CD,
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,594.9251089
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,2085.030765
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,2090.753461
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,58061.00167
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,89202.75054
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,1222.878794
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,12252.2668
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,48801.68513
OECD members,OED,GDP per capita (current US$),NY.GDP.PCAP.CD,42098.64597
Oman,OMN,GDP per capita (current US$),NY.GDP.PCAP.CD,16439.29645
Other small states,OSS,GDP per capita (current US$),NY.GDP.PCAP.CD,13776.75585
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1537.936411
Panama,PAN,GDP per capita (current US$),NY.GDP.PCAP.CD,14516.45805
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,6692.248375
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3548.828323
Palau,PLW,GDP per capita (current US$),NY.GDP.PCAP.CD,
Papua New Guinea,PNG,GDP per capita (current US$),NY.GDP.PCAP.CD,2916.357349
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,17840.92105
Pre-demographic dividend,PRE,GDP per capita (current US$),NY.GDP.PCAP.CD,1437.208502
Puerto Rico,PRI,GDP per capita (current US$),NY.GDP.PCAP.CD,
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),NY.GDP.PCAP.CD,
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,24262.18094
Paraguay,PRY,GDP per capita (current US$),NY.GDP.PCAP.CD,5400.103826
West Bank and Gaza,PSE,GDP per capita (current US$),NY.GDP.PCAP.CD,3663.969055
Pacific island small states,PSS,GDP per capita (current US$),NY.GDP.PCAP.CD,3798.752777
Post-demographic dividend,PST,GDP per capita (current US$),NY.GDP.PCAP.CD,48916.17657
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,61275.99827
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,14861.90917
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,12172.78516
Rwanda,RWA,GDP per capita (current US$),NY.GDP.PCAP.CD,833.8298757
South Asia,SAS,GDP per capita (current US$),NY.GDP.PCAP.CD,2176.776671
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,23585.88563
Sudan,SDN,GDP per capita (current US$),NY.GDP.PCAP.CD,764.3410034
Senegal,SEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1606.472061
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,72794.00302
Solomon Islands,SLB,GDP per capita (current US$),NY.GDP.PCAP.CD,2336.968134
Sierra Leone,SLE,GDP per capita (current US$),NY.GDP.PCAP.CD,515.9320918
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,4408.520365
San Marino,SMR,GDP per capita (current US$),NY.GDP.PCAP.CD,
Somaliland,SOM,GDP per capita (current US$),NY.GDP.PCAP.CD,445.7790165
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,9214.993546
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1644.480362
S. Sudan,SSD,GDP per capita (current US$),NY.GDP.PCAP.CD,
Sub-Saharan Africa,SSF,GDP per capita (current US$),NY.GDP.PCAP.CD,1645.472944
Small states,SST,GDP per capita (current US$),NY.GDP.PCAP.CD,12394.92591
Sao Tome and Principe,STP,GDP per capita (current US$),NY.GDP.PCAP.CD,2449.333442
Suriname,SUR,GDP per capita (current US$),NY.GDP.PCAP.CD,4836.332633
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,21087.8461
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,29200.81988
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,60238.98656
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4214.861688
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Seychelles,SYC,GDP per capita (current US$),NY.GDP.PCAP.CD,13306.7256
Syrian Arab Republic,SYR,GDP per capita (current US$),NY.GDP.PCAP.CD,
Turks and Caicos Islands,TCA,GDP per capita (current US$),NY.GDP.PCAP.CD,24047.05471
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,696.4227755
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),NY.GDP.PCAP.CD,9884.678914
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),NY.GDP.PCAP.CD,9782.541967
Togo,TGO,GDP per capita (current US$),NY.GDP.PCAP.CD,992.3284294
Thailand,THA,GDP per capita (current US$),NY.GDP.PCAP.CD,7233.388858
Tajikistan,TJK,GDP per capita (current US$),NY.GDP.PCAP.CD,897.087902
Turkmenistan,TKM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),NY.GDP.PCAP.CD,8100.572875
Timor-Leste,TLS,GDP per capita (current US$),NY.GDP.PCAP.CD,1457.825128
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),NY.GDP.PCAP.CD,3611.601011
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),NY.GDP.PCAP.CD,2176.776671
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),NY.GDP.PCAP.CD,1645.472944
Trinidad and Tobago,TTO,GDP per capita (current US$),NY.GDP.PCAP.CD,15243.12287
Tunisia,TUN,GDP per capita (current US$),NY.GDP.PCAP.CD,3924.343925
Turkiye,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,9586.61245
Tuvalu,TUV,GDP per capita (current US$),NY.GDP.PCAP.CD,5291.485244
Tanzania,TZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1135.539673
Uganda,UGA,GDP per capita (current US$),NY.GDP.PCAP.CD,858.0575127
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,4835.571777
Upper middle income,UMC,GDP per capita (current US$),NY.GDP.PCAP.CD,10835.52317
Uruguay,URY,GDP per capita (current US$),NY.GDP.PCAP.CD,17020.64864
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,69287.53659
Uzbekistan,UZB,GDP per capita (current US$),NY.GDP.PCAP.CD,1983.064723
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),NY.GDP.PCAP.CD,7996.614002
"Venezuela, RB",VEN,GDP per capita (current US$),NY.GDP.PCAP.CD,
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,
Virgin Islands (U.S.),VIR,GDP per capita (current US$),NY.GDP.PCAP.CD,
Vietnam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,3694.019046
Vanuatu,VUT,GDP per capita (current US$),NY.GDP.PCAP.CD,3127.446248
World,WLD,GDP per capita (current US$),NY.GDP.PCAP.CD,12262.93462
Samoa,WSM,GDP per capita (current US$),NY.GDP.PCAP.CD,3939.113696
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,4986.582469
"Yemen, Rep.",YEM,GDP per capita (current US$),NY.GDP.PCAP.CD,690.759273
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,6994.211654
Zambia,ZMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1120.630171
Zimbabwe,ZWE,GDP per capita (current US$),NY.GDP.PCAP.CD,1737.173977
