Country,Life Expectancy,Population,Hospitals,Hospitals Per Capita,Region,People Per Hospital
Benin,63.4,12123200,48,3.96E-06,ex-French Colony,252566.6667
Burkina Faso,62.7,20903273,62,2.97E-06,ex-French Colony,337149.5645
Botswana,62.2,2351627,29,1.23E-05,ex-British Colony,81090.58621
Central African Republic,53.1,4829767,20,4.14E-06,ex-French Colony,241488.35
C̫te d'Ivoire,62.9,26378274,100,3.79E-06,ex-French Colony,263782.74
Congo,64.7,5518087,25,4.53E-06,ex-French Colony,220723.48
Gabon,66.5,2225734,59,2.65E-05,ex-French Colony,37724.30508
Ghana,66.3,31072940,178,5.73E-06,ex-British Colony,174567.0787
Guinea,61,13132795,35,2.67E-06,ex-French Colony,375222.7143
Gambia,65.5,2416668,6,2.48E-06,ex-British Colony,402778
Kenya,66.1,53771296,399,7.42E-06,ex-British Colony,134765.1529
Lesotho,50.7,2142249,20,9.34E-06,ex-British Colony,107112.45
Mali,62.8,20250833,76,3.75E-06,ex-French Colony,266458.3289
Mauritania,68.4,4649658,18,3.87E-06,ex-French Colony,258314.3333
Malawi,65.6,19129952,56,2.93E-06,ex-British Colony,341606.2857
Niger,63.3,24206644,41,1.69E-06,ex-French Colony,590405.9512
Nigeria,62.6,206139589,879,4.26E-06,ex-British Colony,234516.0284
Sudan,69.1,43849260,272,6.20E-06,ex-British Colony,161210.5147
Senegal,68.6,16743927,29,1.73E-06,ex-French Colony,577376.7931
Sierra Leone,60.8,7976983,32,4.01E-06,ex-British Colony,249280.7188
Eswatini,57.7,1160164,7,6.03E-06,ex-British Colony,165737.7143
Chad,59.6,16425864,78,4.75E-06,ex-French Colony,210588
Uganda,66.7,45741007,121,2.65E-06,ex-British Colony,378024.8512
South Africa,65.3,59308690,327,5.51E-06,ex-British Colony,181372.1407
Zambia,62.5,18383955,91,4.95E-06,ex-British Colony,202021.4835
Zimbabwe,60.7,14862924,169,1.14E-05,ex-British Colony,87946.29586
