Country,Life Expectancy,Population,Hospitals,Hospitals Per Capita,Region,People Per Hospital
Benin,63.4,12123200,48,3.959350666490696e-06,ex-French Colony,252566.66666666666
Burkina Faso,62.7,20903273,62,2.9660426862338735e-06,ex-French Colony,337149.56451612903
Botswana,62.2,2351627,29,1.2331887667559524e-05,ex-British Colony,81090.58620689655
Central African Republic,53.1,4829767,20,4.140986511357587e-06,ex-French Colony,241488.35
C̫te d'Ivoire,62.9,26378274,100,3.7909986074145717e-06,ex-French Colony,263782.74
Congo,64.7,5518087,25,4.5305556074052475e-06,ex-French Colony,220723.48
Gabon,66.5,2225734,59,2.6508109234975968e-05,ex-French Colony,37724.30508474576
Ghana,66.3,31072940,178,5.7284569789662646e-06,ex-British Colony,174567.07865168538
Guinea,61.0,13132795,35,2.6650838606709386e-06,ex-French Colony,375222.71428571426
Gambia,65.5,2416668,6,2.482757250892551e-06,ex-British Colony,402778.0
Kenya,66.1,53771296,399,7.420315850300502e-06,ex-British Colony,134765.15288220553
Lesotho,50.7,2142249,20,9.335982885276174e-06,ex-British Colony,107112.45
Mali,62.8,20250833,76,3.7529320398820137e-06,ex-French Colony,266458.3289473684
Mauritania,68.4,4649658,18,3.8712524663104255e-06,ex-French Colony,258314.33333333334
Malawi,65.6,19129952,56,2.9273466028560866e-06,ex-British Colony,341606.28571428574
Namibia,64.6,2540905,35,1.3774619672911817e-05,ex-French Colony,72597.28571428571
Niger,63.3,24206644,41,1.6937498647065657e-06,ex-French Colony,590405.9512195121
Nigeria,62.6,206139589,879,4.264100866136878e-06,ex-British Colony,234516.0284414107
Sudan,69.1,43849260,272,6.2030693334391506e-06,ex-British Colony,161210.51470588235
Senegal,68.6,16743927,29,1.7319712394828285e-06,ex-French Colony,577376.7931034482
Sierra Leone,60.8,7976983,32,4.0115417069335615e-06,ex-British Colony,249280.71875
Eswatini,57.7,1160164,7,6.033629728210839e-06,ex-British Colony,165737.7142857143
Chad,59.6,16425864,78,4.748608657663305e-06,ex-French Colony,210588.0
South Africa,65.3,59308690,327,5.51352592680769e-06,ex-British Colony,181372.14067278287
Zambia,62.5,18383955,91,4.949968600336544e-06,ex-British Colony,202021.4835164835
Zimbabwe,60.7,14862924,169,1.1370575534127739e-05,ex-British Colony,87946.29585798817
