Open Data Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB18 Sample: 23rd - 24th October 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Gender,,Age,,,,,Social Grade,,Region,,,,,,,,Government Region,,,,,,,,,,,,Working Status,,,,,,,Marital Status,,,,,Children in Household,,,,,,Parent/ Guardian,,,,,,,,Social Media/ Messaging service (within the last month),,,,,,,,,
,,Male,Female,18-24,25-34,35-44,45-54,55+,ABC1,C2DE,North,Midlands,East,London,South,England (NET),Wales,Scotland,North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,London,South East,South West,England (NET),Wales,Scotland,Working full time,Working part time,ALL WORKERS (NET),Full time student,Retired,Unemployed,Not working/ Other,Married/ Civil Partnership,Living as married,Separated/ Divorced,Widowed,Never Married,0,1,2,3+,ALL WITH CHILDREN IN HOUSEHOLD (NET),Refused,Parent/ guardian (any age),Not parent/ guardian,4 years and under,5 to 11 years,12 to 16 years,17 to 18 years,18 years and under,Over 18 years,Facebook,Twitter,LinkedIn,Google+,Pinterest,Instagram,Snapchat,Facebook Messenger,WhatsApp,Skype
profile_work_stat. Which of these applies to you?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unweighted base,2007,941,1066,182,312,373,330,810,1173,834,482,330,174,266,480,1732,99,176,86,210,186,183,147,174,266,295,185,1732,99,176,876,284,1160,87,522,67,171,902,281,187,86,538,1469,239,182,61,482,56,1128,879,168,216,146,63,454,734,1381,621,315,56,253,582,225,1171,1211,191
Base,2007,973,1034,223,308,365,332,779,1144,863,480,331,171,271,481,1734,98,175,86,208,186,186,146,171,271,295,187,1734,98,175,873,290,1163,105,488,71,180,883,281,182,81,567,1454,245,182,65,492,61,1113,894,170,219,148,66,461,713,1383,634,312,57,246,597,248,1182,1213,189
Working full time (30 or more hours per week),43%,52%,35%,26%,64%,73%,63%,18%,52%,32%,41%,42%,52%,43%,47%,44%,40%,38%,42%,41%,40%,38%,47%,52%,43%,47%,47%,44%,40%,38%,100%,-,75%,-,-,-,-,41%,62%,33%,9%,46%,42%,54%,52%,35%,51%,30%,36%,52%,53%,55%,58%,48%,55%,25%,46%,49%,70%,39%,40%,52%,44%,47%,51%,52%
Working part time (8-29 hours a week),13%,8%,17%,10%,14%,15%,11%,12%,13%,13%,14%,12%,13%,11%,13%,13%,9%,12%,10%,17%,11%,16%,7%,13%,11%,14%,12%,13%,9%,12%,-,87%,22%,-,-,-,-,14%,13%,14%,10%,10%,11%,19%,20%,17%,19%,5%,15%,9%,22%,18%,19%,30%,21%,13%,13%,14%,9%,8%,20%,14%,15%,13%,14%,11%
Working part time (Less than 8 hours a week),2%,1%,3%,2%,3%,0%,2%,2%,2%,2%,1%,1%,3%,3%,2%,2%,1%,2%,-,1%,3%,2%,1%,3%,3%,2%,2%,2%,1%,2%,-,13%,3%,-,-,-,-,3%,0%,2%,1%,2%,2%,2%,3%,6%,3%,-,3%,1%,4%,3%,2%,6%,3%,2%,2%,2%,3%,6%,2%,2%,1%,2%,2%,2%
Full time student,5%,5%,5%,40%,4%,1%,0%,0%,6%,4%,6%,5%,3%,6%,4%,5%,3%,9%,7%,4%,7%,6%,3%,3%,6%,4%,5%,5%,3%,9%,-,-,-,100%,-,-,-,1%,4%,1%,-,15%,4%,7%,7%,13%,8%,21%,1%,10%,3%,2%,2%,3%,3%,0%,5%,9%,4%,3%,7%,13%,22%,6%,6%,9%
Retired,24%,23%,26%,2%,-,-,3%,61%,20%,30%,23%,26%,22%,26%,23%,24%,33%,23%,21%,23%,24%,25%,27%,22%,26%,22%,24%,24%,33%,23%,-,-,-,-,100%,-,-,31%,12%,40%,65%,9%,32%,4%,5%,6%,4%,9%,33%,13%,1%,4%,1%,2%,3%,50%,22%,14%,8%,36%,22%,9%,3%,19%,17%,17%
Unemployed,4%,4%,3%,7%,6%,4%,5%,1%,2%,6%,5%,5%,-,3%,2%,3%,4%,4%,3%,7%,5%,4%,5%,-,3%,2%,2%,3%,4%,4%,-,-,-,-,-,100%,-,2%,2%,1%,2%,8%,3%,4%,3%,6%,4%,12%,2%,5%,3%,5%,6%,3%,4%,1%,3%,4%,3%,2%,1%,4%,7%,3%,3%,2%
Not working,6%,4%,8%,6%,6%,5%,12%,4%,4%,10%,7%,6%,5%,4%,7%,6%,6%,7%,12%,5%,8%,5%,7%,5%,4%,8%,6%,6%,6%,7%,-,-,-,-,-,-,70%,7%,4%,7%,8%,6%,5%,7%,10%,11%,9%,9%,7%,6%,9%,9%,8%,8%,8%,6%,6%,5%,2%,5%,6%,5%,5%,6%,5%,4%
Other,3%,3%,3%,6%,2%,3%,4%,1%,1%,4%,2%,3%,2%,4%,2%,2%,4%,4%,5%,2%,2%,3%,2%,2%,4%,2%,2%,2%,4%,4%,-,-,-,-,-,-,30%,1%,2%,2%,5%,5%,2%,3%,1%,6%,3%,15%,2%,3%,5%,4%,3%,-,4%,1%,2%,3%,2%,-,2%,2%,3%,2%,2%,2%
"How well, if at all, do you feel you understand each of the following? (Please select one option on each row)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAM_Q2_1. Data protection and the General Data Protection Regulation (GDPR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unweighted base,2007,941,1066,182,312,373,330,810,1173,834,482,330,174,266,480,1732,99,176,86,210,186,183,147,174,266,295,185,1732,99,176,876,284,1160,87,522,67,171,902,281,187,86,538,1469,239,182,61,482,56,1128,879,168,216,146,63,454,734,1381,621,315,56,253,582,225,1171,1211,191
Base: All GB adults online,2007,973,1034,223,308,365,332,779,1144,863,480,331,171,271,481,1734,98,175,86,208,186,186,146,171,271,295,187,1734,98,175,873,290,1163,105,488,71,180,883,281,182,81,567,1454,245,182,65,492,61,1113,894,170,219,148,66,461,713,1383,634,312,57,246,597,248,1182,1213,189
Very well,11%,12%,10%,14%,13%,11%,11%,10%,14%,8%,12%,12%,8%,12%,10%,11%,13%,10%,16%,14%,9%,10%,15%,8%,12%,10%,10%,11%,13%,10%,14%,10%,13%,13%,8%,9%,6%,11%,14%,9%,9%,11%,11%,11%,9%,6%,9%,21%,10%,13%,15%,8%,9%,14%,12%,9%,13%,15%,23%,15%,12%,11%,14%,13%,12%,20%
Fairly well,46%,45%,47%,36%,48%,55%,51%,43%,51%,39%,42%,47%,53%,42%,50%,46%,51%,44%,38%,42%,45%,46%,47%,53%,42%,51%,48%,46%,51%,44%,53%,48%,52%,42%,37%,38%,41%,49%,52%,40%,37%,43%,46%,53%,50%,39%,50%,32%,46%,46%,46%,50%,52%,42%,49%,44%,48%,51%,52%,44%,53%,47%,41%,48%,50%,55%
Not very well,32%,32%,32%,30%,28%,27%,30%,36%,26%,39%,35%,29%,30%,32%,31%,32%,28%,34%,33%,34%,36%,30%,27%,30%,32%,29%,33%,32%,28%,34%,26%,33%,28%,30%,41%,37%,32%,31%,25%,39%,43%,32%,33%,27%,33%,40%,31%,17%,33%,30%,29%,32%,30%,30%,29%,36%,30%,28%,20%,31%,26%,30%,30%,30%,29%,21%
Not at all well,9%,8%,9%,14%,8%,4%,6%,10%,7%,10%,9%,9%,7%,10%,7%,9%,5%,9%,12%,9%,8%,9%,9%,7%,10%,8%,7%,9%,5%,9%,6%,6%,6%,10%,12%,12%,13%,8%,9%,10%,8%,9%,9%,8%,6%,12%,8%,10%,9%,8%,7%,6%,6%,14%,7%,10%,7%,5%,4%,10%,7%,9%,13%,7%,7%,3%
Don't know,2%,3%,2%,7%,3%,4%,2%,1%,1%,4%,1%,4%,2%,4%,2%,2%,2%,3%,1%,1%,2%,4%,3%,2%,4%,3%,1%,2%,2%,3%,2%,3%,2%,6%,1%,4%,8%,2%,1%,3%,3%,4%,2%,1%,2%,3%,2%,20%,2%,3%,3%,3%,3%,-,3%,2%,2%,2%,1%,-,1%,3%,2%,2%,2%,1%
Net: Well ,57%,57%,57%,50%,60%,66%,62%,52%,65%,47%,55%,59%,61%,53%,60%,57%,64%,53%,54%,56%,54%,56%,62%,61%,53%,60%,59%,57%,64%,53%,67%,58%,65%,54%,46%,47%,47%,60%,65%,48%,46%,54%,57%,63%,59%,45%,59%,54%,56%,59%,61%,58%,61%,56%,61%,53%,61%,65%,75%,59%,65%,59%,55%,61%,62%,75%
Net: Not well,40%,40%,40%,43%,37%,31%,36%,47%,34%,49%,44%,37%,36%,43%,38%,40%,34%,43%,45%,43%,45%,39%,35%,36%,43%,37%,40%,40%,34%,43%,31%,40%,33%,40%,53%,49%,45%,38%,34%,49%,51%,42%,41%,35%,39%,52%,39%,27%,42%,38%,36%,39%,36%,44%,36%,46%,37%,33%,24%,41%,34%,38%,43%,37%,36%,24%
LAM_Q2_2. Your current data rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unweighted base,2007,941,1066,182,312,373,330,810,1173,834,482,330,174,266,480,1732,99,176,86,210,186,183,147,174,266,295,185,1732,99,176,876,284,1160,87,522,67,171,902,281,187,86,538,1469,239,182,61,482,56,1128,879,168,216,146,63,454,734,1381,621,315,56,253,582,225,1171,1211,191
Base: All GB adults online,2007,973,1034,223,308,365,332,779,1144,863,480,331,171,271,481,1734,98,175,86,208,186,186,146,171,271,295,187,1734,98,175,873,290,1163,105,488,71,180,883,281,182,81,567,1454,245,182,65,492,61,1113,894,170,219,148,66,461,713,1383,634,312,57,246,597,248,1182,1213,189
Very well,10%,11%,10%,10%,12%,12%,12%,9%,13%,8%,11%,12%,8%,10%,10%,11%,12%,9%,15%,10%,9%,11%,14%,8%,10%,9%,13%,11%,12%,9%,13%,7%,12%,12%,9%,6%,5%,10%,12%,9%,6%,11%,11%,9%,11%,6%,9%,16%,9%,12%,13%,7%,11%,18%,11%,9%,13%,14%,23%,18%,13%,10%,13%,13%,11%,18%
Fairly well,46%,45%,48%,35%,47%,54%,49%,45%,50%,41%,44%,46%,51%,43%,49%,46%,46%,47%,43%,44%,46%,45%,46%,51%,43%,49%,47%,46%,46%,47%,52%,49%,52%,37%,39%,40%,40%,49%,52%,45%,43%,41%,46%,54%,45%,37%,49%,38%,47%,45%,47%,50%,51%,37%,49%,45%,48%,51%,51%,41%,52%,47%,40%,48%,50%,57%
Not very well,33%,33%,32%,36%,30%,29%,31%,35%,28%,38%,34%,32%,31%,35%,31%,33%,32%,32%,29%,37%,34%,35%,29%,31%,35%,32%,30%,33%,32%,32%,27%,34%,29%,35%,40%,35%,35%,31%,27%,36%,43%,35%,33%,28%,36%,40%,33%,22%,34%,31%,31%,33%,30%,30%,29%,36%,31%,29%,22%,33%,27%,32%,33%,31%,29%,21%
Not at all well,8%,8%,7%,11%,8%,3%,6%,9%,7%,8%,9%,6%,6%,8%,8%,8%,7%,8%,12%,8%,9%,5%,7%,6%,8%,7%,9%,8%,7%,8%,5%,7%,6%,11%,9%,12%,11%,7%,8%,7%,6%,9%,8%,7%,5%,12%,7%,5%,8%,8%,5%,7%,6%,16%,7%,8%,6%,5%,3%,8%,6%,8%,11%,6%,7%,3%
Don't know,3%,3%,3%,8%,4%,3%,2%,1%,2%,5%,2%,4%,3%,3%,3%,3%,3%,4%,1%,1%,3%,4%,4%,3%,3%,3%,2%,3%,3%,4%,2%,3%,2%,4%,2%,7%,9%,2%,2%,2%,3%,4%,2%,2%,2%,4%,2%,20%,2%,4%,4%,3%,2%,-,3%,2%,3%,2%,1%,-,2%,3%,3%,2%,3%,2%
Net: Well ,57%,56%,58%,45%,58%,65%,61%,54%,63%,49%,55%,58%,60%,53%,59%,57%,58%,56%,58%,54%,55%,56%,60%,60%,53%,58%,60%,57%,58%,56%,66%,57%,64%,49%,49%,46%,45%,59%,64%,54%,48%,52%,57%,63%,56%,43%,58%,54%,56%,57%,60%,58%,62%,54%,60%,54%,60%,64%,74%,59%,65%,57%,53%,61%,61%,74%
Net: Not well,40%,41%,39%,47%,38%,31%,37%,45%,35%,47%,43%,38%,37%,44%,38%,40%,39%,40%,41%,45%,42%,39%,36%,37%,44%,39%,38%,40%,39%,40%,32%,41%,34%,47%,50%,47%,46%,39%,34%,43%,49%,43%,41%,35%,42%,53%,40%,27%,41%,39%,36%,40%,36%,46%,37%,44%,37%,34%,25%,41%,33%,39%,44%,37%,36%,24%
"LAM_Q3. The General Data Protection Regulation (GDPR) is a legal framework that sets out guidelines for the collection and processing of personal information from individuals who live in the European Union (EU). 

Which, if any, of the following have ever helped inform you about data protection rights and GDPR? (Please select all that apply. If nothing in particular has helped inform you about data protection and GDPR, please select the 'Not applicable' option)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unweighted base,2007,941,1066,182,312,373,330,810,1173,834,482,330,174,266,480,1732,99,176,86,210,186,183,147,174,266,295,185,1732,99,176,876,284,1160,87,522,67,171,902,281,187,86,538,1469,239,182,61,482,56,1128,879,168,216,146,63,454,734,1381,621,315,56,253,582,225,1171,1211,191
Base: All GB adults online,2007,973,1034,223,308,365,332,779,1144,863,480,331,171,271,481,1734,98,175,86,208,186,186,146,171,271,295,187,1734,98,175,873,290,1163,105,488,71,180,883,281,182,81,567,1454,245,182,65,492,61,1113,894,170,219,148,66,461,713,1383,634,312,57,246,597,248,1182,1213,189
My work (excluding a training course),29%,27%,30%,17%,45%,44%,38%,14%,38%,15%,27%,28%,31%,29%,30%,29%,26%,26%,28%,30%,25%,28%,28%,31%,29%,28%,33%,29%,26%,26%,52%,41%,49%,-,-,-,-,30%,40%,18%,9%,27%,26%,42%,36%,26%,38%,15%,27%,31%,46%,35%,33%,38%,40%,20%,31%,37%,52%,28%,38%,35%,30%,32%,35%,40%
Friends and family,12%,11%,13%,17%,15%,11%,9%,11%,13%,10%,11%,12%,7%,14%,13%,12%,10%,14%,13%,10%,11%,15%,9%,7%,14%,11%,16%,12%,10%,14%,11%,13%,12%,19%,11%,11%,13%,12%,12%,11%,10%,12%,11%,12%,18%,11%,14%,11%,12%,11%,12%,13%,14%,17%,12%,12%,14%,15%,15%,25%,17%,17%,22%,14%,14%,19%
The media (e.g. news articles),27%,29%,26%,32%,28%,24%,24%,29%,31%,23%,23%,26%,25%,33%,28%,27%,35%,32%,21%,23%,23%,25%,26%,25%,33%,30%,24%,27%,35%,32%,25%,27%,25%,40%,33%,28%,17%,26%,28%,26%,33%,29%,29%,26%,23%,23%,25%,21%,26%,29%,23%,27%,22%,19%,24%,27%,30%,33%,37%,33%,33%,31%,29%,29%,30%,43%
"Marketing information from organisations I interact with (e.g emails, leaflets etc.)",23%,22%,24%,23%,23%,21%,22%,25%,26%,20%,24%,23%,19%,22%,24%,23%,25%,23%,22%,19%,29%,25%,20%,19%,22%,25%,22%,23%,25%,23%,22%,23%,22%,24%,26%,23%,17%,24%,22%,23%,23%,22%,24%,20%,20%,21%,20%,24%,23%,23%,22%,25%,23%,22%,23%,23%,24%,30%,32%,20%,28%,25%,25%,25%,26%,28%
A training course (e.g. internal or external training at work/ college etc.),26%,26%,27%,28%,28%,34%,31%,19%,33%,17%,26%,27%,25%,24%,27%,26%,27%,24%,29%,27%,24%,28%,27%,25%,24%,31%,21%,26%,27%,24%,36%,25%,33%,29%,13%,18%,17%,26%,32%,20%,13%,28%,25%,32%,26%,27%,29%,19%,23%,30%,29%,28%,32%,28%,29%,20%,29%,34%,45%,34%,34%,31%,30%,30%,30%,37%
Other,7%,8%,5%,9%,9%,6%,4%,6%,6%,7%,6%,6%,8%,5%,7%,6%,6%,9%,5%,5%,8%,5%,7%,8%,5%,6%,8%,6%,6%,9%,5%,6%,5%,13%,7%,7%,9%,4%,8%,8%,10%,8%,7%,6%,4%,5%,5%,10%,5%,9%,5%,5%,5%,3%,5%,5%,7%,8%,8%,6%,7%,7%,6%,6%,6%,10%
Don't know,5%,5%,5%,7%,5%,4%,4%,5%,3%,8%,4%,6%,5%,8%,5%,5%,3%,4%,2%,5%,4%,8%,5%,5%,8%,5%,5%,5%,3%,4%,3%,4%,3%,7%,6%,12%,9%,5%,3%,5%,6%,6%,5%,3%,5%,14%,5%,17%,5%,6%,3%,5%,8%,8%,5%,5%,4%,3%,2%,2%,3%,4%,3%,4%,5%,2%
Not applicable -  nothing in particular has helped to inform me about data protection and GDPR,26%,26%,26%,27%,17%,18%,24%,35%,18%,37%,29%,24%,29%,26%,24%,26%,23%,28%,33%,29%,28%,21%,28%,29%,26%,24%,24%,26%,23%,28%,17%,24%,19%,23%,39%,34%,41%,27%,20%,35%,32%,25%,28%,22%,25%,13%,22%,21%,29%,24%,17%,20%,21%,21%,20%,34%,24%,18%,11%,25%,19%,20%,28%,23%,19%,15%
"LAM_Q5a. For the following question by, 'personal data', we mean data that can be used to identify an individual (e.g. age, gender, address, telephone number etc.).

Which, if any, of the following would be indications to you that an organisation is using personal data that they hold about you ethically? (Please select all that apply)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unweighted base,2007,941,1066,182,312,373,330,810,1173,834,482,330,174,266,480,1732,99,176,86,210,186,183,147,174,266,295,185,1732,99,176,876,284,1160,87,522,67,171,902,281,187,86,538,1469,239,182,61,482,56,1128,879,168,216,146,63,454,734,1381,621,315,56,253,582,225,1171,1211,191
Base: All GB adults online,2007,973,1034,223,308,365,332,779,1144,863,480,331,171,271,481,1734,98,175,86,208,186,186,146,171,271,295,187,1734,98,175,873,290,1163,105,488,71,180,883,281,182,81,567,1454,245,182,65,492,61,1113,894,170,219,148,66,461,713,1383,634,312,57,246,597,248,1182,1213,189
